교과목,교육과정,교육주차,강사강의 만족도,순위
소통을 위한 대화의 기술 공감기법,제1기 과장급 필수 역량향상 과정,2025년 2월 5주차,4.6625,565위
일본어,제22기 중견리더 과정(14주차),2025년 5월 4주차,4.6621,566위
해설이 있는 영화 속 클래식,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.662,567위
역량교육의 이해,제2기 과장급 필수 역량향상 과정,2025년 5월 5주차,4.6618,568위
우리 함께 어울림1,"제2기 세대와 마음을 잇는 소통 ON, 공감 UP 과정",2025년 5월 2주차,4.661,569위
업무에 바로 사용하는 엑셀TIP,제1기 업무용 오피스 활용 과정,2025년 3월 4주차,4.6607,570위
일본어,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.6607,571위
행정학,제22기 중견리더 과정(6주차),2025년 3월 5주차,4.6602,572위
일본어,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.6595,573위
세계유산 가야고분군의 가치이해,제1기 기야사 바로알기 과정,2025년 4월 1주차,4.6591,574위
소통을 위한 대화기술 및 공감기법,제2기 시·군 팀장 리더십 과정,2025년 4월 3주차,4.6591,574위
보고서 작성 실습,제1기 신규 임용(후보)자 과정(3주차),2025년 3월 4주차,4.6585,576위
행정학,제22기 중견리더 과정(5주차),2025년 3월 4주차,4.6585,576위
엑셀 실무 함수 활용,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.6579,578위
엑셀 데이터 분석 및 시각화,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.6579,579위
성찰 및 비전 수립,제1기 신규 임용(후보)자 과정(3주차),2025년 3월 4주차,4.6574,580위
스마트 교통시스템의 개념과 적용사례,제1기 경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,2025년 3월 4주차,4.6563,581위
일본어,제22기 중견리더 과정(6주차),2025년 3월 5주차,4.6563,581위
Open mind/팀빌딩,제1기 신규 임용(후보)자 과정(1주차),2025년 3월 2주차,4.6554,583위
생성형 AI의 직무적용,제1기 6급 승진자 역량향상 과정,2025년 3월 5주차,4.6548,584위
정리수납,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.6548,584위
빠른 보고서 작성을 위한 한글 Tip,제3기 한글 활용 과정,2025년 7월 3주차,4.6548,584위
일본어,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.6538,587위
소통을 위한 대화의 기술과 공감 기법,제1기 경남의 복지 과정,2025년 7월 2주차,4.6538,588위
일본어,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.6536,589위
일반서무 업무 알아보기,제2기 신규 임용(후보)자 과정(3주차),2025년 4월 3주차,4.6529,590위
인문학 콘서트,제3기 미래설계 과정,2025년 7월 3주차,4.6528,591위
한자,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.6526,592위
일반서무 업무 알아보기,제1기 신규 임용(후보)자 과정(3주차),2025년 3월 4주차,4.6524,593위
쉽고 빠른 데이터 엑셀 표 작성,제2기 엑셀 활용 과정,2025년 5월 1주차,4.6524,594위
보도자료 작성,제2기 신규공무원 역량향상 심화 과정,2025년 4월 1주차,4.6522,595위
인사말 작성,제3기 신규공무원 역량향상 심화 과정,2025년 4월 4주차,4.65,596위
영어,제22기 중견리더 과정(18주차),2025년 6월 3주차,4.65,596위
리더의 미디어 커뮤니케이션,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.6495,598위
행정학,제22기 중견리더 과정(10주차),2025년 4월 4주차,4.6493,599위
필라테스,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.6488,600위
소통을 위한 대화기술 및 공감기법,제1기 건축 실무 과정,2025년 4월 1주차,4.6481,601위
엑셀실무,제1기 신규공무원 역량향상 심화 과정,2025년 3월 3주차,4.6481,601위
지속적인 자기개발 방법 제시 및 목표설정,제22기 중견리더 과정(1주차),2025년 2월 4주차,4.6477,603위
설계도서 작성의 이해,제1기 토목실무 과정,2025년 3월 4주차,4.6477,603위
조종실습 3,제2기 드론 이해와 실전 활용 과정,2025년 6월 3주차,4.6475,605위
소통을 위한 대화의 기술과 공감 기법,제2기 재난관리 실무 과정,2025년 5월 3주차,4.6464,606위
영어,제22기 중견리더 과정(10주차),2025년 4월 4주차,4.6458,607위
사진,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.6458,607위
계약 법령 체계,제2기 계약실무 과정,2025년 3월 3주차,4.6454,609위
헌법,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.6449,610위
문서 편집 고급 팁,제2기 한글 활용 과정,2025년 5월 5주차,4.6447,611위
슬기로운 일상속 AI,제1기 미래설계 과정(2주차),2025년 5월 5주차,4.6442,612위
갈등해결 및 성과창출 리더십,제3기 시·군 팀장 리더십 과정,2025년 4월 4주차,4.6442,613위
일본어,제22기 중견리더 과정(12주차),2025년 5월 2주차,4.6431,614위
장애인 복지사업의 이해 및 토론,제1기 경남의 복지 과정,2025년 7월 2주차,4.6429,615위
보이스트레이닝,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.6423,616위
공무원 노사관계의 이해,제1기 신규 임용(후보)자 과정(2주차),2025년 3월 3주차,4.6414,617위
덜 지치는 직장생활,제1기 7·8급 승진자 역량향상 과정,2025년 2월 5주차,4.6413,618위
적격심사 및 감사지적사례,제1기 계약실무 과정,2025년 3월 2주차,4.6406,619위
엑셀실무,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.6406,619위
일본어,제22기 중견리더 과정(10주차),2025년 4월 4주차,4.6406,619위
시간관리 생애설계,제1기 미래설계 과정(1주차),2025년 4월 4주차,4.6405,622위
e호조 지출·회계 실무,제3기 신규공무원 역량향상 심화 과정,2025년 4월 4주차,4.64,623위
지방보조금 관리시스템(보탬e) 활용,제1기 보조금 담당자 실무 과정,2025년 3월 3주차,4.6396,624위
소통을 위한 대화기술 공감기법,제1기 교육 담당자 역량향상 과정,2025년 2월 3주차,4.6389,625위
리더의 언어,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.6389,626위
한국사,제22기 중견리더 과정(5주차),2025년 3월 4주차,4.6389,626위
헌법,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.6382,628위
일본어,제22기 중견리더 과정(10주차),2025년 4월 4주차,4.638,629위
문서 작성 실무 활용,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.6375,630위
탁구,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.6364,631위
일본어,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.6364,631위
가죽공예,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.6364,631위
영어,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.6364,631위
영어,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.6364,631위
탁구,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.6364,631위
지방보조금 관리시스템(보탬e) 활용,제4기 홍보실무 과정,2025년 5월 4주차,4.6364,631위
공공언어의 개념 및 특성,제1기 공공언어 바르게 쓰기 과정,2025년 7월 4주차,4.6346,638위
일본어,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.6346,638위
행정학,제22기 중견리더 과정(14주차),2025년 5월 4주차,4.6346,640위
한국사,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.6344,641위
예산실무,제1기 예산회계 실무 과정,2025년 2월 5주차,4.6339,642위
데이터 시각화 및 데이터 분석 명령,제2기 엑셀 활용 과정,2025년 5월 1주차,4.6339,643위
소통을 위한 대화기술 및 공감기법,제3기 시·군 팀장 리더십 과정,2025년 4월 4주차,4.6336,644위
기간제 근로관계 일반론,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.6333,645위
기간제 근로자 관리실무자 사례공유,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.6333,645위
신임팀장 비전만들기,제3기 시·군 팀장 리더십 과정,2025년 4월 4주차,4.6329,647위
소통을 위한 대화기술 및 공감기법,제3기 재난관리 실무 과정,2025년 6월 2주차,4.6323,648위
바람직한 공직관 실천,제1기 신규 임용(후보)자 과정(1주차),2025년 3월 2주차,4.632,649위
경남의 도정과제공유(시군정책 이해를 통한 공감경남 만들기),제1기 신규 임용(후보)자 과정(1주차),2025년 3월 2주차,4.632,650위
한국사,제22기 중견리더 과정(12주차),2025년 5월 2주차,4.6316,651위
필라테스,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.6316,651위
정리수납,제22기 중견리더 과정(10주차),2025년 4월 4주차,4.6308,653위
정리수납,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.6307,654위
행정학,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.6305,655위
보도자료 작성실무,제1기 7·8급 승진자 역량향상 과정,2025년 2월 5주차,4.6304,656위
한글실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.63,657위
근대문화역사길 투어,제1기 문화유산 이해 과정,2025년 3월 5주차,4.6296,658위
한산도 제승당 탐방,제1기 문화유산 이해 과정,2025년 3월 5주차,4.6296,659위
소통을 위한 대화기술 및 공감기법,제2기 7·8급 승진자 역량향상 과정,2025년 5월 1주차,4.6293,660위
행정학,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.6284,661위
"호칭, 지칭, 경어 등 언어 예절",제1기 공공언어 바르게 쓰기 과정,2025년 7월 4주차,4.6282,662위
기간제 근로자-공무원 소통강화,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.6274,663위
한글실무,제1기 신규공무원 역량향상 심화 과정,2025년 3월 3주차,4.6265,664위
시간관리 생애설계,제3기 미래설계 과정(1주차),2025년 7월 2주차,4.625,665위
보도자료 작성,제1기 신규공무원 역량향상 심화 과정,2025년 3월 3주차,4.625,665위
한글 문서 편집 기본 기능과 작업 TIP,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.625,665위
일잘러를 위한 PPT 활용 TIP,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.625,665위
가죽공예,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.625,665위
라탄공예,제22기 중견리더 과정(12주차),2025년 5월 2주차,4.625,665위
탁구,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.625,665위
라탄공예,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.625,665위
라탄공예,제22기 중견리더 과정(18주차),2025년 6월 3주차,4.625,665위
일본어,제22기 중견리더 과정(3주차),2025년 3월 2주차,4.625,665위
지방의회 운영 실무 및 사례연구,제1기 지방의회 공무원 실무역량 향상 과정,2025년 3월 5주차,4.625,665위
자치법규 입안 실무,제1기 지방의회 공무원 실무역량 향상 과정,2025년 3월 5주차,4.625,665위
"수사실무(범죄인지, 참고인 조사 방법 등)",제1기 특별사법경찰 수사실무 과정,2025년 2월 4주차,4.625,665위
행정학,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.6219,678위
부동산과 양도 소득세,제22기 중견리더 과정(4주차),2025년 3월 3주차,4.6212,679위
인사말 작성,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.6206,680위
팀장의 보고 및 발표스킬,제3기 시·군 팀장 리더십 과정,2025년 4월 4주차,4.6204,681위
삼도수군통제영 및 세병관 탐방,제1기 문화유산 이해 과정,2025년 3월 5주차,4.6204,682위
사례로 보는 사이버 범죄 대처 요령,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.6196,683위
여가생활 관리,제1기 인생 2모작 준비 과정,2025년 3월 4주차,4.6194,684위
직장 내 괴롭힘 예방,제2기 신규 임용(후보)자 과정(3주차),2025년 4월 3주차,4.619,685위
영어,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.6154,686위
소통을 위한 대화의 기술과 공감기법,제1기 미래설계 과정(2주차),2025년 5월 1주차,4.6144,687위
법률규정 해석,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.6143,688위
보도자료 작성,제5기 신규공무원 역량향상 심화 과정,2025년 6월 2주차,4.6136,689위
통기타,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.6136,689위
차세대 지방재정관리 시스템,제2기 신규 임용(후보)자 과정(3주차),2025년 4월 3주차,4.6131,691위
헌법,제22기 중견리더 과정(5주차),2025년 3월 4주차,4.613,692위
테니스,제22기 중견리더 과정(15주차),2025년 5월 5주차,4.6125,693위
성과중심 공직가치 함양,제1기 신규 임용(후보)자 과정(1주차),2025년 3월 2주차,4.6124,694위
덜 지치는 직장생활,제2기 7·8급 승진자 역량향상 과정,2025년 5월 1주차,4.6121,695위
슬기로운 방첩생활,제2기 신규 임용(후보)자 과정(2주차),2025년 4월 2주차,4.6113,696위
모의과제 실습,제2기 과장급 필수 역량향상 과정,2025년 5월 5주차,4.6111,697위
취업심사 및 행위제한제도 안내,제3기 미래설계 과정(1주차),2025년 7월 2주차,4.6111,697위
공무원 연금제도의 이해,제2기 신규 임용(후보)자 과정(1주차),2025년 4월 1주차,4.6111,697위
분임토의,제22기 중견리더 과정(13주차),2025년 5월 3주차,4.6111,697위
프리젠테이션과 발표,제1기 신규 임용(후보)자 과정(2주차),2025년 3월 3주차,4.611,701위
취업심사 및 행위제한제도 안내,제2기 미래설계 과정(1주차),2025년 5월 4주차,4.61,702위
소통을 위한 대화의 기술과 공감기법,제1기 산림정책실무 과정,2025년 7월 3주차,4.6094,703위
한국사,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.6094,703위
사진,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.6094,703위
감사지적 사례 및 기술감사 사례,제1기 토목실무 과정,2025년 3월 4주차,4.6093,706위
스피치 스킬 향상,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.6088,707위
필라테스,제22기 중견리더 과정(14주차),2025년 5월 4주차,4.6087,708위
필라테스,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.6087,708위
생성형 AI의 직무적용,제2기 7·8급 승진자 역량향상 과정,2025년 5월 1주차,4.6087,710위
분임토의,제22기 중견리더 과정(13주차),2025년 5월 3주차,4.6074,711위
수사인권의 이해,제1기 특별사법경찰 수사실무 과정,2025년 2월 4주차,4.6071,712위
예산실무,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.6071,713위
보도자료 작성,제3기 신규공무원 역량향상 심화 과정,2025년 4월 4주차,4.605,714위
상속세 및 증여세 절세전략,제22기 중견리더 과정(4주차),2025년 3월 3주차,4.6038,715위
행정학,제22기 중견리더 과정(9주차),2025년 4월 3주차,4.6036,716위
행사 목적 선정 및 기획,제1기 행사 실무 과정,2025년 4월 1주차,4.6031,717위
일본어,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.6029,718위
영어,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.6023,719위
연금제도의 이해,제2기 미래설계 과정(1주차),2025년 5월 4주차,4.6019,720위
수질오염 재난사례 및 대응,제2기 재난관리 실무 과정,2025년 5월 3주차,4.6014,721위
법령체계와 법령해석 방법론,제1기 신규 임용(후보)자 과정(3주차),2025년 3월 4주차,4.6006,722위
인사말 작성,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.6,723위
AI를 활용한 PPT 제작,제4기 업무용 오피스 활용 과정,2025년 7월 1주차,4.6,723위
소통을 위한 대화기술 및 공감기법,제1기 재난안전 통신망 과정,2025년 6월 4주차,4.6,723위
테니스,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.6,723위
테니스,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.6,723위
영어,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.6,723위
라탄공예,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.6,723위
행정업무 운영실무,제1기 신규 임용(후보)자 과정(2주차),2025년 3월 3주차,4.5994,730위
군항문화탐방,제1기 문화유산 이해 과정,2025년 3월 5주차,4.5979,731위
동의보감에 나타난 성인병 예방,제3기 미래설계 과정(1주차),2025년 7월 2주차,4.5972,732위
사진,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.5968,733위
국가재난시스템 및 선진재난관리기법,제1기 재난관리 실무 과정,2025년 3월 5주차,4.5968,734위
생성형 AI의 직무적용,제2기 전입공무원 역량향상 과정,2025년 7월 3주차,4.5962,735위
온나라 시스템,제2기 신규 임용(후보)자 과정(3주차),2025년 4월 3주차,4.5952,736위
"자격증(한자,한국사,정리수납)",제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5952,736위
엑셀 활용 팁,제2기 7·8급 승진자 역량향상 과정,2025년 5월 1주차,4.5948,738위
필라테스,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.5947,739위
예산실무,제5기 신규공무원 역량향상 심화 과정,2025년 6월 2주차,4.5945,740위
"논리, 창의적 사고와 기획력",제1기 기획능력 향상 과정,2025년 3월 5주차,4.5938,741위
"사회, 의전행사진행 실습 및 피드백",제1기 행사 실무 과정,2025년 4월 1주차,4.5938,741위
행정학,제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5929,743위
엑셀실무,제2기 신규공무원 역량향상 심화 과정,2025년 4월 1주차,4.5921,744위
보조금 실무,제4기 홍보실무 과정,2025년 5월 4주차,4.5909,745위
지방보조금 관리시스템(보탬e) 활용,제1기 보조금단체 회계실무 과정,2025년 2월 4주차,4.5909,746위
법률(규정) 해석,제2기 신규공무원 역량향상 심화 과정,2025년 4월 1주차,4.5909,746위
현장학습(도정과제 연계),제1기 신규 임용(후보)자 과정(2주차),2025년 3월 3주차,4.5904,748위
행정학,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.5902,749위
동의보감에 나타난 면역력 강화 기법,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.5902,750위
취업심사 및 행위제한제도 안내,제1기 미래설계 과정(1주차),2025년 4월 4주차,4.59,751위
한국사,제22기 중견리더 과정(8주차),2025년 4월 2주차,4.5893,752위
피의자 신문 및 조서 작성방법,제1기 특별사법경찰 수사실무 과정,2025년 2월 4주차,4.5893,752위
스마트폰 사진 촬영기법,제22기 중견리더 과정(4주차),2025년 3월 3주차,4.5891,754위
동피랑 등 자율여행 및 토론,제1기 문화유산 이해 과정,2025년 3월 5주차,4.5887,755위
소통을 위한 대화기술 및 공감기법,제1기 7·8급 승진자 역량향상 과정,2025년 2월 5주차,4.587,756위
생활속 응급처치,제1기 미래설계 과정(2주차),2025년 5월 5주차,4.5865,757위
필라테스,제22기 중견리더 과정(12주차),2025년 5월 2주차,4.5862,758위
공직자 10대 행위기준 알아보기,제1기 공직자 이해충돌 방지 과정,2025년 5월 2주차,4.586,759위
국가재난관리 정책방향과 위기관리,제1기 재난안전 관리자 과정,2025년 5월 2주차,4.5859,760위
재난안전관리 리더십,제1기 재난안전 관리자 과정,2025년 5월 2주차,4.5859,760위
재난안전관리 우수사례 공유,제1기 재난안전 관리자 과정,2025년 5월 2주차,4.5859,760위
홍보템플릿 실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.5858,763위
프리젠테이션과 발표,제2기 신규 임용(후보)자 과정(2주차),2025년 4월 2주차,4.5852,764위
핵심 엑셀 활용 팁,제2기 신규 임용(후보)자 과정(2주차),2025년 4월 2주차,4.5852,764위
보고서 작성 실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.5851,766위
지방보조금 관리시스템(보탬e) 활용,제3기 보조금단체 회계실무 과정,2025년 4월 1주차,4.5848,767위
바람직한 공직관 실천,제3기 신규 임용(후보)자 과정(1주차),2025년 7월 2주차,4.5844,768위
라탄공예,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.5833,769위
근로계약과 급여 및 복무관리,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.5833,770위
디피랑 야간 탐방,제1기 문화유산 이해 과정,2025년 3월 5주차,4.5833,770위
연금제도의 이해,제3기 미래설계 과정(1주차),2025년 7월 2주차,4.5833,770위
예산실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.5833,770위
재난안전통신망의 이해,제1기 재난안전 통신망 과정,2025년 6월 4주차,4.5833,770위
영어,제22기 중견리더 과정(21주차),2025년 7월 2주차,4.5833,770위
해인사 팔만대장경 등 견학,제1기 문화유산 이해 과정,2025년 3월 5주차,4.5827,776위
SNS '좋아요 & 나',제22기 중견리더 과정(18주차),2025년 6월 3주차,4.5817,777위
두통을 완화하는 스트레칭 운동법,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.5813,778위
아라가야 유적지 견학,제1기 문화유산 이해 과정,2025년 3월 5주차,4.581,779위
현장학습,제1기 저수지·댐 안전관리,2025년 4월 4주차,4.5805,780위
온나라 시스템,제1기 신규 임용(후보)자 과정(3주차),2025년 3월 4주차,4.5803,781위
필라테스,제22기 중견리더 과정(13주차),2025년 5월 3주차,4.58,782위
신고 절차 및 신고자 보호·보상 등,제1기 공직자 이해충돌 방지 과정,2025년 5월 2주차,4.5795,783위
보조금 실무,제1기 보조금단체 회계실무 과정,2025년 2월 4주차,4.5795,783위
쉽게 배워서 크게 쓰는 재무 설계,제22기 중견리더 과정(3주차),2025년 3월 2주차,4.5788,785위
헌법,제22기 중견리더 과정(18주차),2025년 6월 3주차,4.578,786위
소통을 위한 대화의 기술과 공감 기법,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.5762,787위
동아리 활동,제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5758,788위
정리수납,제22기 중견리더 과정(6주차),2025년 3월 5주차,4.5758,788위
한국사,제22기 중견리더 과정(14주차),2025년 5월 4주차,4.5758,790위
언론과의 효과적 소통 및 대응,제1기 과장급 필수 역량향상 과정,2025년 2월 5주차,4.575,791위
보조금 실무,제5기 신규공무원 역량향상 심화 과정,2025년 6월 2주차,4.5741,792위
보조금 실무,제3기 보조금단체 회계실무 과정,2025년 4월 1주차,4.5738,793위
경남도의 재난안전 역량수준 및 역량강화 방안,제3기 재난관리 실무 과정,2025년 6월 2주차,4.5717,794위
일본어,제22기 중견리더 과정(9주차),2025년 4월 3주차,4.5715,795위
경남 스마트시티 조성 전략의 이해,"제1기 스마트 경남, 스마트 시티 과정",2025년 6월 1주차,4.5714,796위
라탄공예,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.5714,796위
외국어,제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5714,796위
형법 총칙개요,제1기 특별사법경찰 수사실무 과정,2025년 2월 4주차,4.5714,796위
보고서 작성 및 기획역량 강화,제1기 신규 임용(후보)자 과정(2주차),2025년 3월 3주차,4.5713,800위
2025년 경제 전망,제22기 중견리더 과정(3주차),2025년 3월 2주차,4.5696,801위
테니스,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.5682,802위
동의보감에 나타난 성인병 예방,제1기 미래설계 과정(1주차),2025년 4월 4주차,4.5682,803위
쉽게 활용하는 한글 팁,제2기 신규 임용(후보)자 과정(2주차),2025년 4월 2주차,4.5682,803위
법률(규정) 해석,제1기 신규공무원 역량향상 심화 과정,2025년 3월 3주차,4.5682,803위
홍보 업무 능력 2배 향상시키기,제1기 업무용 오피스 활용 과정,2025년 3월 4주차,4.5681,806위
보고서 작성 실무,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.5675,807위
표준운영절차 활용 상호통신 실습,제1기 재난안전 통신망 과정,2025년 6월 4주차,4.5667,808위
사진,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.5667,808위
헌법,제22기 중견리더 과정(6주차),2025년 3월 5주차,4.5655,810위
이해충돌방지법 제정 의의 및 사례,제1기 공직자 이해충돌 방지 과정,2025년 5월 2주차,4.5652,811위
필라테스,제22기 중견리더 과정(16주차),2025년 6월 1주차,4.5652,811위
라탄공예,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.5637,813위
정리수납,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.5627,814위
국가재난시스템 및 선진재난관리기법,제3기 재난관리 실무 과정,2025년 6월 2주차,4.5625,815위
영어,제22기 중견리더 과정(19주차),2025년 6월 4주차,4.5625,815위
지방자치제도 및 지방의회 역할,제1기 지방의회 공무원 실무역량 향상 과정,2025년 3월 5주차,4.5625,815위
법률(규정) 해석,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.5622,818위
경남의 통합돌봄 사업의 이해,제1기 경남의 복지 과정,2025년 7월 2주차,4.5618,819위
긍정적 소통을 위한 힐링매직,제22기 중견리더 과정(22주차),2025년 7월 3주차,4.5615,820위
채용공고문 작성 및 공고 방법,제1기 기간제 근로자 관리자 과정,2025년 3월 3주차,4.5607,821위
예산실무,제3기 신규공무원 역량향상 심화 과정,2025년 4월 4주차,4.56,822위
소통과 세대공감,제1기 공공언어 바르게 쓰기 과정,2025년 7월 4주차,4.5577,823위
고수의 여행노하우,제2기 미래설계 과정(1주차),2025년 5월 4주차,4.5577,823위
일본어,제22기 중견리더 과정(15주차),2025년 5월 5주차,4.5577,823위
스트레스 진단과 치유,제22기 중견리더 과정(18주차),2025년 6월 3주차,4.5575,826위
보조금 실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.5568,827위
필라테스,제22기 중견리더 과정(15주차),2025년 5월 5주차,4.5568,827위
화재대응 및 응급조치,제1기 재난관리 실무 과정,2025년 3월 5주차,4.5565,829위
건축 감리 실무,제1기 건축 실무 과정,2025년 4월 1주차,4.5556,830위
2025년 HRD 트렌드 공유,제1기 교육 담당자 역량향상 과정,2025년 2월 3주차,4.5556,830위
기후위기와 탄소중립의 이해,제1기 기후위기 적응·대응 과정,2025년 5월 5주차,4.5556,830위
미술,제22기 중견리더 과정(17주차),2025년 6월 2주차,4.5556,830위
동아리 활동,제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5556,830위
테니스,제22기 중견리더 과정(9주차),2025년 4월 3주차,4.5556,830위
항공 모빌리티 인프라 구축 관련법과 해결과제,제1기 경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,2025년 3월 4주차,4.5552,836위
세계유산 가야고분군의 이해,제2기 가야사 바로알기 과정,2025년 5월 3주차,4.5549,837위
영어,제22기 중견리더 과정(13주차),2025년 5월 3주차,4.5549,837위
한국사,제22기 중견리더 과정(3주차),2025년 3월 2주차,4.5548,839위
특별사법 경찰제도 이해,제1기 특별사법경찰 수사실무 과정,2025년 2월 4주차,4.5536,840위
사진,제22기 중견리더 과정(12주차),2025년 5월 2주차,4.5535,841위
"세대공감 및 민원응대(주제선정, 사례 등)",제1기 신규 임용(후보)자 과정(1주차),2025년 3월 2주차,4.5534,842위
경남형 통합돌봄 개념과 정책의 이해,제2기 6급 승진자 역량향상 과정,2025년 7월 2주차,4.5526,843위
예산실무,제2기 신규공무원 역량향상 심화 과정,2025년 4월 1주차,4.55,844위
홍보템플릿 실무,제4기 신규공무원 역량향상 심화 과정,2025년 5월 3주차,4.55,844위
표준운영절차의 이해,제1기 재난안전 통신망 과정,2025년 6월 4주차,4.55,844위
저수지 댐 시설물 보수보강 실무,제1기 저수지·댐 안전관리,2025년 4월 4주차,4.55,844위
정리수납,제22기 중견리더 과정(5주차),2025년 3월 4주차,4.5487,848위
e호조 지출·회계 실무,제1기 신규공무원 역량향상 심화 과정,2025년 3월 3주차,4.5481,849위
"자격증(한자,한국사,정리수납)",제22기 중견리더 과정(20주차),2025년 7월 1주차,4.5469,850위
영어,제22기 중견리더 과정(3주차),2025년 3월 2주차,4.5469,850위
일본어,제22기 중견리더 과정(7주차),2025년 4월 1주차,4.5469,850위
탁구,제22기 중견리더 과정(11주차),2025년 5월 1주차,4.5467,853위
중대재해처벌법의 이해,제1기 토목실무 과정,2025년 3월 4주차,4.5455,854위
역량에 대한 이해,제2기 시·군 팀장 리더십 과정,2025년 4월 3주차,4.5455,855위
엑셀실무,제6기 신규공무원 역량향상 심화 과정,2025년 7월 1주차,4.5444,856위
용역계약 실무,제1기 계약실무 과정,2025년 3월 2주차,4.5441,857위
독서의 방법,제22기 중견리더 과정(2주차),2025년 2월 5주차,4.5436,858위
계약실무,제2기 신규공무원 역량향상 심화 과정,2025년 4월 1주차,4.5435,859위
