교과목,교육과정,교육주차,강사강의 만족도,순위
차세대 지방재정관리 시스템 사용실무,제2기 예산회계 실무 과정,2024년 7월 3주차,4.7225,398위
명품바디만들기,제21기 중견리더 과정,2024년 10월 4주차,4.7225,398위
지방 보조금 관리시스템(보탬e) 활용,제2기 보조금 단체 회계실무 과정,2024년 4월 1주차,4.7225,398위
바람직한 공직관 실천,제9기 신규임용(후보)자 과정,2024년 10월 3주차,4.7225,398위
"간단한 인사말, 자기소개법",제3기 명품 스피치 과정,2024년 12월 3주차,4.72002924,403위
팀장의 역할 공감,제2기 시·군 팀장 리더십 과정,2024년 4월 1주차,4.72,404위
갈등 해결 및 성과 창출 리더십,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.72,404위
모의과제(서류함기법),제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.72,406위
청렴교육,제1기 계약실무 과정,2024년 3월 2주차,4.72,406위
사진,제21기 중견리더 과정,2024년 7월 1주차,4.72,406위
스트레칭,제1기 계약실무 과정,2024년 3월 2주차,4.72,406위
경남에 대한 생각 나누기,제2기 경남 바로 알기 과정,2024년 12월 2주차,4.72,406위
여가생활 관리,제2기 인생 2모작 준비 과정,2024년 12월 1주차,4.717741935,411위
댄스스포츠,제21기 중견리더 과정,2024년 7월 1주차,4.7175,412위
스마트폰 제대로 찍기,제1기 미래설계 과정,2024년 3월 3주차,4.7175,412위
명품바디만들기,제21기 중견리더 과정,2024년 9월 1주차,4.7175,412위
갈등해결 및 성과창출 리더십,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.7175,415위
역량교육의 이해,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.715,416위
성주류화 제도란 무엇인가?,제1기 성별영향평가 과정,2024년 4월 2주차,4.715,416위
한자,제21기 중견리더 과정,2024년 8월 3주차,4.715,416위
심폐소생술 및 응급처치,제4기 미래설계 과정,2024년 11월 3주차,4.715,416위
행정학,제21기 중견리더 과정,2024년 4월 3주차,4.715,416위
2024년 성별영향평가의 추진방향,제1기 성별영향평가 과정,2024년 4월 2주차,4.715,416위
인문학콘서트,제1기 미래설계 과정,2024년 3월 3주차,4.715,416위
퇴직전후 맞춤 재테크,제2기 미래 설계 과정,2024년 6월 3주차,4.715,416위
경남의 관광산업 현황 및 발전방안,제1기 경남 바로알기 과정,2024년 3월 1주차,4.7125,424위
챗GPT와 AI 기초 이해,제2기 4차 산업혁명과 AI 활용 과정,2024년 9월 4주차,4.7125,424위
사진,제21기 중견리더 과정,2024년 11월 2주차,4.7125,424위
